id,name,hosts,clients,ops,throughput,throughput_ref,rf,value_size_in_bytes,bytes_per_host,docker_image,config_file,driver,workload
1,base-1-thrpt,12,1,20000000,1,1,3,1000,100000000000,adugois1/apache-cassandra-base:latest,config/cassandra/cassandra-base.yaml,main.json,main.yaml
2,base-0.9-thrpt,12,1,20000000,0.9,1,3,1000,100000000000,adugois1/apache-cassandra-base:latest,config/cassandra/cassandra-base.yaml,main.json,main.yaml
3,base-0.8-thrpt,12,1,20000000,0.8,1,3,1000,100000000000,adugois1/apache-cassandra-base:latest,config/cassandra/cassandra-base.yaml,main.json,main.yaml
4,base-0.7-thrpt,12,1,20000000,0.7,1,3,1000,100000000000,adugois1/apache-cassandra-base:latest,config/cassandra/cassandra-base.yaml,main.json,main.yaml
5,base-0.6-thrpt,12,1,20000000,0.6,1,3,1000,100000000000,adugois1/apache-cassandra-base:latest,config/cassandra/cassandra-base.yaml,main.json,main.yaml
6,se-1-thrpt,12,1,20000000,1,6,3,1000,100000000000,adugois1/apache-cassandra-se:latest,config/cassandra/cassandra-se.yaml,main.json,main.yaml
7,se-0.9-thrpt,12,1,20000000,0.9,6,3,1000,100000000000,adugois1/apache-cassandra-se:latest,config/cassandra/cassandra-se.yaml,main.json,main.yaml
8,se-0.8-thrpt,12,1,20000000,0.8,6,3,1000,100000000000,adugois1/apache-cassandra-se:latest,config/cassandra/cassandra-se.yaml,main.json,main.yaml
9,se-0.7-thrpt,12,1,20000000,0.7,6,3,1000,100000000000,adugois1/apache-cassandra-se:latest,config/cassandra/cassandra-se.yaml,main.json,main.yaml
10,se-0.6-thrpt,12,1,20000000,0.6,6,3,1000,100000000000,adugois1/apache-cassandra-se:latest,config/cassandra/cassandra-se.yaml,main.json,main.yaml
